"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","4.3.3 Verify invalid access token - sub does not match DID document id","","Mon Apr 27 05:48:43 UTC 2026","passed","Mon Apr 27 05:48:43 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenIncorrectSub"
"","29","discoveryShouldReturn400_ifRequestHasMissingProps()","","Mon Apr 27 05:47:29 UTC 2026","passed","Mon Apr 27 05:47:29 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn400_ifRequestHasMissingProps"
"","8642","transferData_withSuspendResume()","","Mon Apr 27 05:49:49 UTC 2026","passed","Mon Apr 27 05:49:58 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_withSuspendResume"
"","83","Policy is accepted ""Liability""","","Mon Apr 27 05:47:02 UTC 2026","passed","Mon Apr 27 05:47:02 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","47","refreshEdr_whenNotAuthorized()","","Mon Apr 27 05:46:56 UTC 2026","passed","Mon Apr 27 05:46:56 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotAuthorized"
"","45","Policy is not accepted due to missing context ""MembershipCredential""","","Mon Apr 27 05:47:04 UTC 2026","passed","Mon Apr 27 05:47:04 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","68","Policy is accepted ""Data Usage End Date Definition""","","Mon Apr 27 05:47:02 UTC 2026","passed","Mon Apr 27 05:47:02 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","48","Policy is not accepted because definition is not correct ""Access Policy with prohibition rule""","","Mon Apr 27 05:47:04 UTC 2026","passed","Mon Apr 27 05:47:04 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","389","Provider gets 400 when empty asset selector is used","","Mon Apr 27 05:47:37 UTC 2026","passed","Mon Apr 27 05:47:37 UTC 2026","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldFail_whenContractDefinitionHasEmptyAssetSelector"
"","15755","Malicious actor should not impersonate a consumer by creating a VP with the consumer membership credential","","Mon Apr 27 05:47:18 UTC 2026","passed","Mon Apr 27 05:47:34 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withWrappedConsumerCredential"
